Date,PEJ,BIL,DZL
20/06/05,14.59,NaN,1891.23999
27/06/05,14.53,NaN,1890.32983
05/07/05,14.76,NaN,1912.51978
11/07/05,14.85,NaN,1943.47998
18/07/05,14.97,NaN,1953.01978
25/07/05,14.98,NaN,1945.55981
01/08/05,14.61,NaN,1905.66992
08/08/05,14.64,NaN,1898.67993
15/08/05,14.46,NaN,1877.47998
22/08/05,14.24,NaN,1845.60986
29/08/05,13.75,NaN,1783.98999
06/09/05,14.24,NaN,1846.48999
12/09/05,14.08,NaN,1826.94995
19/09/05,13.78,NaN,1788.80981
26/09/05,13.87,NaN,1810.15991
03/10/05,13.9,NaN,1802.48999
10/10/05,13.8299,NaN,1793.8999
17/10/05,14.08,NaN,1822.00977
24/10/05,13.99,NaN,1815.94995
31/10/05,14.79,NaN,1922.0498
07/11/05,14.91,NaN,1930.86987
14/11/05,15.02,NaN,1947.42993
21/11/05,15.32,NaN,1987.94995
28/11/05,15.4,NaN,1994.53979
05/12/05,15.17,NaN,1965.13989
12/12/05,15.16,NaN,1968.40991
19/12/05,15.27,NaN,1978.31982
27/12/05,15.21,NaN,1972.16992
03/01/06,15.63,NaN,2025.08984
09/01/06,15.79,NaN,2045.75977
17/01/06,15.7301,NaN,2039.17993
23/01/06,16.21001,NaN,2101.72998
30/01/06,16.11,NaN,2092.8999
06/02/06,16.11,NaN,2089.27979
13/02/06,15.96,NaN,2067.00977
21/02/06,15.88,NaN,2058.68994
27/02/06,15.86,NaN,2056
06/03/06,15.86,NaN,2058.19995
13/03/06,16.25999,NaN,2107.47998
20/03/06,16.2001,NaN,2104.5
27/03/06,16.34,NaN,2118.97998
03/04/06,16.31,NaN,2111
10/04/06,16.07001,NaN,2086.30981
17/04/06,16.28999,NaN,2114.17993
24/04/06,16.32001,NaN,2112.70996
01/05/06,16.72,NaN,2170.87988
08/05/06,16.33,NaN,2119.36987
15/05/06,16.03999,NaN,2080.28979
22/05/06,16.05,NaN,2083.18994
30/05/06,16.05,NaN,2086.98999
05/06/06,15.72,NaN,2036.65991
12/06/06,15.5201,NaN,2017.28979
19/06/06,15.47,NaN,2005.95996
26/06/06,16.13,NaN,2088.56982
03/07/06,15.7,NaN,2039.06982
10/07/06,14.8101,NaN,1924.41992
17/07/06,14.7208,NaN,1911.18994
24/07/06,14.71,NaN,1905.90991
31/07/06,14.8301,NaN,1930.28979
07/08/06,14.6201,NaN,1898.11987
14/08/06,15.39,NaN,2000.26978
21/08/06,14.94,NaN,1940.25977
28/08/06,15.7,NaN,2032.83984
05/09/06,15.74,NaN,2038.67993
11/09/06,16.35001,NaN,2117.06982
18/09/06,16.3299,NaN,2115.66992
25/09/06,16.52,NaN,2138.61987
02/10/06,17.10001,NaN,2220.38989
09/10/06,17.42999,NaN,2257.59985
16/10/06,17.3,NaN,2238.44995
23/10/06,17.5,NaN,2264.34985
30/10/06,17.12,NaN,2217.37988
06/11/06,17.60001,NaN,2279.60986
13/11/06,17.88,NaN,2310.25
20/11/06,17.94,NaN,2314.92993
27/11/06,17.46001,NaN,2259.75977
04/12/06,17.86,NaN,2311.97998
11/12/06,17.89999,NaN,2318.46997
18/12/06,17.84,NaN,2317.15991
26/12/06,17.97,NaN,2326.59985
03/01/07,17.778,NaN,2300.87988
08/01/07,18.3,NaN,2365.30981
16/01/07,18.14999,NaN,2349.48999
22/01/07,17.88,NaN,2314.55981
29/01/07,18.23,NaN,2358.6499
05/02/07,18.14,NaN,2356.03979
12/02/07,18.49001,NaN,2397.10986
20/02/07,18.77,NaN,2429.31982
26/02/07,17.83,NaN,2309.07983
05/03/07,18.03,NaN,2331.71997
12/03/07,17.71001,NaN,2295.62988
19/03/07,18.42999,NaN,2386.56982
26/03/07,18.14011,NaN,2354.78979
02/04/07,18.48,NaN,2395.32983
09/04/07,18.41,NaN,2390.16992
16/04/07,18.53999,NaN,2408.32983
23/04/07,18.61,NaN,2411.82983
30/04/07,18.88,NaN,2447.83984
07/05/07,18.85001,NaN,2450.18994
14/05/07,18.92,NaN,2458.83984
21/05/07,18.85001,NaN,2452.68994
29/05/07,19.23,91.62,2496.46997
04/06/07,18.89,91.68,2449.1499
11/06/07,19.25,91.84,2501.72998
18/06/07,18.7,91.96,2429.69995
25/06/07,18.75,92,2437.05981
02/07/07,19.37,91.66,2517.26978
09/07/07,19.03999,91.74,2474.76978
16/07/07,18.84,91.84,2445.17993
23/07/07,17.517,91.92002,2260.70996
30/07/07,17.06,91.54,2213.50977
06/08/07,16.98,91.76,2207.33984
13/08/07,16.78,91.96,2180.97998
20/08/07,17.77,91.94,2303.86987
27/08/07,17.6701,91.98002,2285.82983
04/09/07,17.25,91.72,2234.68994
10/09/07,17.57001,91.82,2282.66992
17/09/07,18.14999,91.82,2355.85986
24/09/07,18.12,91.79998,2350.23999
01/10/07,18.53999,91.54,2409.37988
08/10/07,18.42,91.70002,2388.63989
15/10/07,17.75999,91.84,2305.63989
22/10/07,17.78,91.78022,2303.15991
29/10/07,17.44,91.66,2276.8999
05/11/07,17.03999,91.74,2199.68994
12/11/07,16.74001,91.78,2173.08984
19/11/07,16.44,91.9,2131.80981
26/11/07,16.66,91.9,2161.56982
03/12/07,17.00999,91.72,2211.42993
10/12/07,16.44,91.74,2129.82983
17/12/07,15.91,91.85998,2149.42993
24/12/07,15.89,91.6,2127.6499
31/12/07,14.65,91.58082,1961.66992
07/01/08,14.23,91.62,1901.34985
14/01/08,13.6001,91.70002,1829.57983
22/01/08,14.362,91.78,1922.01978
28/01/08,15.49,91.70002,2066.20996
04/02/08,14.85,91.72,1988.08984
11/02/08,15.22,91.76,2034.34985
19/02/08,15.2,91.79998,2031.60986
25/02/08,14.79,91.85998,1972.93994
03/03/08,14.15,91.74,1858.58984
10/03/08,14.07,91.85998,1847.32983
17/03/08,14.61,91.94,1920.88989
24/03/08,14.29,91.79998,1880.21997
31/03/08,15.06,91.74,1976.91992
07/04/08,14.4,91.76,1891.33984
14/04/08,14.89,91.68,1958.37988
21/04/08,14.94,91.76,1965.61987
28/04/08,15.49,91.6,2037.42993
05/05/08,15.23,91.64002,1998.95996
12/05/08,15.39,91.62,2019.26978
19/05/08,14.58,91.64002,1914.44995
27/05/08,15.05,91.68,1976.36987
02/06/08,14.5,91.6,1901.65991
09/06/08,14.33,91.75962,1880
16/06/08,13.83,91.79998,1812.47998
23/06/08,13.12,91.85998,1723.95996
30/06/08,12.5301,91.72,1646.17993
07/07/08,12.21,91.82,1593.60986
14/07/08,12.794,91.84,1681.93994
21/07/08,12.81,91.84,1677.0498
28/07/08,12.85,91.7002,1682.72998
04/08/08,13.73,91.74,1799.35986
11/08/08,13.996,91.78,1833.97998
18/08/08,13.2901,91.84,1766.6499
25/08/08,13.22,91.8056,1730.78979
02/09/08,13.13,91.76,1720.73999
08/09/08,13.17,91.79998,1728.81982
15/09/08,13.7,91.76,1765.50977
22/09/08,12.31,92.07998,1639.98999
29/09/08,10.96,91.96,1435.32983
06/10/08,9.1201,92.06,1199.05981
13/10/08,9.26,91.64002,1185.06982
20/10/08,8.1501,91.76,1067.41992
27/10/08,9.4301,91.79998,1223.60986
03/11/08,8.4668,91.9,1117.38989
10/11/08,7.6999,91.9,988.56982
17/11/08,6.34,91.85998,871.45996
24/11/08,7.92,91.66,1057.78979
01/12/08,8.1199,91.76,1058.17993
08/12/08,8.38,91.74,1096.63989
15/12/08,9.34,91.72,1223.42993
22/12/08,8.95,91.84,1182.37988
29/12/08,9.7801,91.6,1282.21997
05/01/09,9.534,91.7276,1235.35986
12/01/09,8.944,91.78022,1173.91992
20/01/09,8.88,91.78,1148.75
26/01/09,8.58,91.7598,1122.27979
02/02/09,9,91.6,1180.73999
09/02/09,8.5018,91.76,1107.84985
17/02/09,8.12,91.78,1052.55981
23/02/09,7.97,91.74,1037.16992
02/03/09,7.25,91.76,954.90991
09/03/09,8.25,91.70002,1076.55981
16/03/09,8.482,91.74,1105.13989
23/03/09,9.0584,91.78,1168.87988
30/03/09,9.538,91.72,1251.58984
06/04/09,9.68,91.68,1264.75977
13/04/09,10.11,91.66,1319.63989
20/04/09,10.63,91.77978,1392.52979
27/04/09,10.505,91.78,1376.09985
04/05/09,11.22,91.6752,1468.06982
11/05/09,10.55,91.70002,1376.19995
18/05/09,10.77,91.74,1408.53979
26/05/09,11.404,91.76,1495.22998
01/06/09,11.66,91.69642,1522.08984
08/06/09,11.264,91.74,1474.34985
15/06/09,11.18,91.76,1457.75977
22/06/09,11.1,91.76,1459.5
29/06/09,11.03,91.76,1440.43994
06/07/09,10.92,91.74,1425.27979
13/07/09,11.61,91.76,1513.77979
20/07/09,11.92,91.70002,1560.43994
27/07/09,11.9,91.68,1555.95996
03/08/09,12.13,91.70002,1583.85986
10/08/09,11.8672,91.74,1555.11987
17/08/09,12.19,91.70002,1590.97998
24/08/09,12.0644,91.74,1576.44995
